Rank	Ragione sociale	Partita IVA	P.IVA valida	Codice fiscale	CCIAA	N. REA	Forma giuridica	Indirizzo sede legale	CAP	Comune	Prov.	Regione	Capitale sociale (€)	ATECO	Attività (ATECO)	Settore	Data iscrizione	Stato attività	Fatturato (€)	Anno bilancio	Dipendenti	PEC	VIES	Denominazione VIES	Indirizzo VIES	Fonte dati anagrafici	Fonte classifica
268	UNOENERGY SOCIETA' PER AZIONI	01368720080	SI				SOCIETA' PER AZIONI	Corso Cavallotti 30	18038	Sanremo	IM	Liguria	50000000	35.23	Commercio di gas distribuito mediante condotte	Energia	16/08/2004	Attiva	1095506300	2024		segreteria@pec.unoenergy.it	SI	UNOENERGY SOCIETA' PER AZIONI	CORSO CAVALLOTTI 30 18038 SANREMO IM	https://www.aziende.it/unoenergy-societa-per-azioni	monitoraitalia.it; topaziende.quotidiano.net
269	PIAGGIO & C. S.P.A.	01551260506	SI	04773200011	PI	134077	SOCIETA' PER AZIONI	Viale Rinaldo Piaggio 25	56025	Pontedera	PI	Toscana	207613944	30.91.12	Fabbricazione di motocicli	Manifatturiero	15/12/2000	Attiva	1095135000	2024	2983	piaggiogroup.corporate.governance@legalmail.it	SI	PIAGGIO & C. S.P.A.	VIALE RINALDO PIAGGIO 25 56025 PONTEDERA PI	https://www.aziende.it/piaggio-c-s-p-a	monitoraitalia.it
270	AMAZON ITALIA LOGISTICA S.R.L.	07231660965	SI		MI	1945153	SOCIETA' A RESPONSABILITA' LIMITATA	Viale Monte Grappa 3/5	20124	Milano	MI	Lombardia	10000	52.25.09	Altri servizi di logistica	Trasporti	01/05/2011	Attiva	1095126800	2024	11767	amazonitalialogistica@legalmail.it	SI	AMAZON ITALIA LOGISTICA S.R.L.	VIALE MONTE GRAPPA 3/5, 20124 MILANO MI	https://www.aziende.it/amazon-italia-logistica-s-r-l	monitoraitalia.it
271	ACCIAIERIE VENETE S.P.A.	00224180281	SI		PD	95084	SOCIETA' PER AZIONI	Riviera Francia 9	35127	Padova	PD	Veneto	126000000	24.1	SIDERURGIA	Metallurgia	01/06/1990	Attiva	1094139600	2024	1456	accven.amministrazione@legalmail.it	SI	ACCIAIERIE VENETE S.P.A.	RIVIERA FRANCIA 9, 35127 PADOVA PD	https://www.aziende.it/acciaierie-venete-s-p-a	monitoraitalia.it
272	KIA ITALIA S.R.L.	07369940965	SI	07369940965	MI	1953920	SOCIETA' A RESPONSABILITA' LIMITATA	Via Gattamelata 34	20149	Milano	MI	Lombardia	20000000	47.83.1	Commercio al dettaglio di motocicli	Manifatturiero	15/04/2011	Attiva	1089851400	2024	131	finance@pec.kia.it	SI	KIA ITALIA S.R.L.	VIA GATTAMELATA 34 20149 MILANO MI	https://www.aziende.it/kia-italia-s-r-l	monitoraitalia.it
273	SAFIMET S.P.A.. SOCIETA' BENEFIT	01668080516	SI	01668080516		130038	Societa' per Azioni	LOCALITA' SAN ZENO 63/E	52100	AREZZO	AR	Toscana	8000000	2441	Produzione di metalli preziosi	Metallurgia	01/03/2001	Attiva	1089468900	2024	74	safimet@legalmail.it	SI	SAFIMET S.P.A. SOCIETA' BENEFIT	LOCALITA' SAN ZENO 63/E 52100 AREZZO AR	https://www.ufficiocamerale.it/3818/safimet-spa	monitoraitalia.it
274	UNES MAXI S.P.A.	07515280159	SI		MI	1168008	Societa' per Azioni	Via Marco Ulpio Traiano 57	20149	Milano	MI	Lombardia	50000000	47.11.02	Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari, bevande o tabacchi	Commercio	21/02/1989	Attiva	1085773800	2024	3528	unesmaxi@legalmail.it	SI	UNES MAXI S.P.A.	VIA MARCO ULPIO TRAIANO 57, 20149 MILANO MI	https://www.aziende.it/unes-maxi-s-p-a	monitoraitalia.it
275	ELECTROLUX ITALIA S.P.A.	00065130932	SI	00065130932	PN	5030	Societa' per Azioni	Corso Lino Zanussi 24	33080	Porcia	PN	Friuli-Venezia Giulia	121440868	27.51	Fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche	Manifatturiero	16/04/1952	Attiva	1084625200	2024	4420	electroluxitaliapec@electroluxpec.it	SI	ELECTROLUX ITALIA S.P.A.	CORSO LINO ZANUSSI 24 33080 PORCIA PN	https://www.aziende.it/electrolux-italia-s-p-a	monitoraitalia.it
276	WORLD FUEL SERVICES ITALY S.R.L.	09407430967	SI	09407430967	MI	2088064	Società a Responsabilità Limitata	Corso Vercelli 40	20145	Milano	MI	Lombardia	13849006	52.23	Attività dei servizi connessi al trasporto aereo	Altri servizi	17/01/2017	Attiva	1082336000	2024	30	wfsitaly@legalmail.it	SI	WORLD FUEL SERVICES ITALY S.R.L.	CORSO VERCELLI 40 20145 MILANO MI	https://www.aziende.it/world-fuel-services-italy-s-r-l	monitoraitalia.it
277	INFINEUM ITALIA S.R.L.	12640380155	SI	12640380155	SV	127666	SOCIETA' A RESPONSABILITA' LIMITATA	Strada Di Scorrimento 2	17047	Vado Ligure	SV	Liguria	20000000	20.59.99	Fabbricazione di tutti gli altri prodotti chimici vari n.c.a.	Manifatturiero	31/12/1998	Attiva	1080950700	2024	242	amministrazione.infineum@legalmail.it	SI	INFINEUM ITALIA S.R.L.	STRADA DI SCORRIMENTO 2 17047 VADO LIGURE SV	https://www.aziende.it/infineum-italia-s-r-l	monitoraitalia.it
278	DAVIDE CAMPARI - MILANO N.V	06672120158	SI	06672120158		1112227	SOCIETA' COSTITUITA IN BASE A LEGGI DI ALTRO STATO	VIA SACCHETTI 20	20099	SESTO SAN GIOVANNI	MI	Lombardia	51600000	1101	Distillazione, rettifica e miscelatura di alcolici	Manifatturiero	16/09/1982	Attiva	1075900000	2024	1118		SI	DAVIDE CAMPARI MILANO N.V.	VIA SACCHETTI N 20 20099 SESTO SAN GIOVANNI MI	https://www.ufficiocamerale.it/7860/davide-campari-milano-nv	monitoraitalia.it
279	EUROSPIN PUGLIA S.P.A.	03117590756	SI	03117590756	BR	102372	SOCIETA' PER AZIONI	Contrada Cornacchia S P Torchiarolo	72027	San Pietro Vernotico	BR	Puglia	5000000	47.11.02	Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari, bevande o tabacchi	Commercio	14/03/1997	Attiva	1073143600	2024	3017	eurospin.puglia@pec.eurospin.com	SI	EUROSPIN PUGLIA S.P.A.	CONTRADA CORNACCHIA S P TORCHIAROLO 72027 SAN PIETRO VERNOTICO BR	https://www.aziende.it/eurospin-puglia-s-p-a	monitoraitalia.it
280	POSTEPAY S.P.A.	06874351007	SI	06874351007	RM	995573	SOCIETA' PER AZIONI	Viale Europa 190	00144	Roma	RM	Lazio	7561191	64.19.2	Fondi comuni di investimento monetario	Finanza	03/11/2007	Attiva	1067662300	2024	419	postepay@pec.posteitaliane.it	SI	POSTEPAY S.P.A.	VIALE EUROPA 190, 00144 ROMA RM	https://www.aziende.it/postepay-s-p-a	monitoraitalia.it
281	SOGEI - SOCIETA' GENERALE D'INFORMATICA - S.P.A.. E IN FORMA ABBREVIATA SOGEI S.P.A.	01043931003	SI	02327910580		407760	SOCIETA' PER AZIONI CON SOCIO UNICO	VIA MARIO CARUCCI 99	00143	ROMA	RM	Lazio	28830000	629009	Altre attivita' dei servizi connessi alle tecnologie dell'informazione	Altri servizi	28/05/1976	Attiva	1067127700	2024	2771		SI	SOGEI - SOCIETA' GENERAL D'INFORMATICA SPA	VIA MARIO CARUCCI 99 00143 ROMA RM	https://www.ufficiocamerale.it/2321/sogei-societa-generale-dinformatica-spa-e-in-forma-abbreviata-sogei-spa	monitoraitalia.it
282	SASOL ITALY S.P.A.	04758570826	SI				SOCIETA' PER AZIONI	Viale Enrico Forlanini 23	20134	Milano	MI	Lombardia	22600000	20.14.09	Fabbricazione di altri prodotti chimici di base organici nca	Fabbricazione di prodotti chimici organici			1056162293	2024			SI	SASOL ITALY SPA	VIALE ENRICO FORLANINI 23 20134 MILANO MI	https://www.aziende.it/sasol-italy-s-p-a	topaziende.quotidiano.net
283	MAX MARA S.R.L.	01397620350	SI		RE	182471	SOCIETA' A RESPONSABILITA' LIMITATA	Via Giulia Maramotti 4	42124	Reggio nell'Emilia	RE	Emilia-Romagna	13000000	14.21.1	Fabbricazione in serie di abbigliamento esterno	Manifatturiero		Attiva	1053360928	2024	985	maxmara@legalmail.it	SI	MAX MARA S.R.L.	VIA GIULIA MARAMOTTI 4, 42124 REGGIO NELL'EMILIA RE	https://www.aziende.it/max-mara-s-r-l	monitoraitalia.it; topaziende.quotidiano.net
284	PARMALAT S.P.A.. IN FORMA ABBREVIATA PLT S.P.A.	04030970968	SI	04030970968		1790186	SOCIETA' PER AZIONI	LARGO TAZIO NUVOLARI 1	20143	MILANO	MI	Lombardia	1940000000	10512	Produzione di derivati del latte	Manifatturiero	01/10/2005	Attiva	1051022100	2024	1438		SI	PARMALAT S.P.A. IN FORMA ABBREVIATA 'PLT S.P.A.'	LARGO TAZIO NUVOLARI 1 20143 MILANO MI	https://www.ufficiocamerale.it/6823/parmalat-spa-in-forma-abbreviata-plt-spa	monitoraitalia.it; topaziende.quotidiano.net
285	TOD'S S.P.A.	01113570442	SI	01113570442	FM	114030	SOCIETA' PER AZIONI	Via Filippo Della Valle 1	63811	Sant'Elpidio a Mare	FM	Marche	66187078	15.20.1	Fabbricazione di calzature	Manifatturiero		Attiva	1046895000	2024	2342	todsspa@pec.todsgroup.com	SI	TOD'S S.P.A.	VIA FILIPPO DELLA VALLE 1 63811 SANT'ELPIDIO A MARE FM	https://www.aziende.it/tod-s-s-p-a	monitoraitalia.it; topaziende.quotidiano.net
286	THALES ALENIA SPACE ITALIA S.P.A.	00991340969	SI		RM	1068540	SOCIETA' PER AZIONI	Via Saccomuro 24	00131	Roma	RM	Lazio	204007999	30.3	FABBRICAZIONE DI AEROMOBILI, DI VEICOLI SPAZIALI E DEI RELATIVI DISPOSITIVI	Manifatturiero	25/02/1987	Attiva	1046452330	2024	2923	thalesaleniaspaceitalia@pec.it	SI	THALES ALENIA SPACE ITALIA S.P.A.	VIA SACCOMURO 24 00131 ROMA RM	https://www.aziende.it/thales-alenia-space-italia-s-p-a	aziende.it; monitoraitalia.it
287	MET ENERGIA ITALIA S.P.A.	09985750968	SI	09985750968	MI	2125972	SOCIETA' PER AZIONI	Viale Francesco Restelli 3/7	20124	Milano	MI	Lombardia	100000	35.23	Commercio di gas distribuito mediante condotte	Energia	01/09/2017	Attiva	1044625900	2024	74	metenergiaitalia@legalmail.it	SI	MET ENERGIA ITALIA SPA	VIALE FRANCESCO RESTELLI 3/7, 20124 MILANO MI	https://www.aziende.it/met-energia-italia-s-p-a	monitoraitalia.it; topaziende.quotidiano.net
288	BEKO ITALY MANUFACTURING S.R.L.	00693740425	SI	00693740425		1106112	SOCIETA' A RESPONSABILITA' LIMITATA	VIA VARESINA 204	20156	MILANO	MI	Lombardia	102759269	2751	Fabbricazione di elettrodomestici	Manifatturiero	05/12/1980	Attiva	1037500000	2024	2810		SI	BEKO ITALY MANUFACTURING S.R.L.	VIA VARESINA 204 20156 MILANO MI	https://www.ufficiocamerale.it/8390/whirlpool-emea-spa	monitoraitalia.it
289	INFRASTRUTTURE WIRELESS ITALIANE S.P.A.. O, IN FORMA ABBREVIATA, INWIT S.P.A.	08936640963	SI	08936640963		2057238	Societa' per Azioni	Largo Guido Donegani 2	20121	Milano	MI	Lombardia	600000000	61909	Altre attivita' di telecomunicazioni n.c.a.	Telecomunicazioni	21/04/2015	Attivo	1035335714	2024	330		SI	INFRASTRUTTURE WIRELESS ITALIANE S.P.A	LARGO DONEGANI 2 20121 MILANO MI	https://www.ufficiocamerale.it/8630/infrastrutture-wireless-italiane-spa-o-in-forma-abbreviata-inwit-spa	monitoraitalia.it; topaziende.quotidiano.net
290	GRIMALDI DEEP SEA S.P.A.	04068550823	SI		PA	169531	SOCIETA' PER AZIONI	Piazza Gentili Alberico 3	90143	Palermo	PA	Sicilia	60000000	50	TRASPORTO MARITTIMO E PER VIE D'ACQUA	Trasporti	12/05/1992	Attiva	1034082346	2024	338	grimaldideepsea@legalmail.it	SI	GRIMALDI DEEP SEA S.P.A.	PIAZZA GENTILI ALBERICO 3 90143 PALERMO PA	https://www.aziende.it/grimaldi-deep-sea-s-p-a	aziende.it; monitoraitalia.it
291	IMPRESA PIZZAROTTI & C. S.P.A.	00533290342	SI		PR	43991	SOCIETA' PER AZIONI	Via Anna Maria Adorni 1	43121	Parma	PR	Emilia-Romagna	347400000	41	COSTRUZIONE DI EDIFICI	Costruzione di edifici		Attiva	1031627764	2024	692	pizzarotti@pec.pizzarotti.it	SI	IMPRESA PIZZAROTTI & C. S.P.A.	VIA ANNA MARIA ADORNI 1 43121 PARMA PR	https://www.aziende.it/impresa-pizzarotti-c-s-p-a	topaziende.quotidiano.net
292	ENGINEERING INGEGNERIA INFORMATICA S.P.A.	05724831002	SI		RM	531128	Società per azioni	Piazzale Dell'agricoltura 24	00144	Roma	RM	Lazio	34095537	62.1	Attivita' di programmazione informatica	Altri servizi		Attiva	1023006600	2024	8504	engineering.ingegneria.informatica.spa@legalmail.it	SI	ENGINEERING INGEGNERIA INFORMATICA SPA	PIAZZALE DELL'AGRICOLTURA 24, 00144 ROMA RM	https://www.aziende.it/engineering-ingegneria-informatica-s-p-a	aziende.it; monitoraitalia.it
293	HAVI LOGISTICS S.R.L. A SOCIO UNI CO	02292880362	SI	01388080218	MO	271828	Società a Responsabilità Limitata	Via A Moro 31	41030	Bomporto	MO	Emilia-Romagna	260000	46.39	Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacco	Trasporti	17/07/1990	Attiva	1022828200	2024	238	havi-logistics@pec.confindustriamodena.com	SI	HAVI LOGISTICS SRL A SOCIO UNI CO	VIA A MORO 31, 41030 BOMPORTO MO	https://www.aziende.it/havi-logistics-s-r-l	monitoraitalia.it; topaziende.quotidiano.net
294	ESTRA ENERGIE S.R.L.	01219980529	SI	01219980529	SI	130079	SOCIETA' A RESPONSABILITA' LIMITATA	Via Toselli 9/a	53100	Siena	SI	Toscana	17438212	35.23	Commercio di gas distribuito mediante condotte	Energia	01/01/2008	Attiva	1022437601	2024	188	estraenergie@cert.estraspa.it	SI	ESTRA ENERGIE SRL	VIA TOSELLI 9/A 53100 SIENA SI	https://www.aziende.it/estra-energie-s-r-l	monitoraitalia.it; topaziende.quotidiano.net
295	HYUNDAI MOTOR COMPANY ITALY S.R.L.	06313170968	SI		MI	1883965	Società a responsabilità limitata	Via Bensi Giovanni 11	20152	Milano	MI	Lombardia	19000000	46.71.1	Commercio all'ingrosso di automobili e autoveicoli leggeri	Manifatturiero	03/11/2008	Attiva	1021120800	2024	127	hyundai.motor@pec.it	SI	HYUNDAI MOTOR COMPANY ITALY SRL	VIA GIOVANNI BENSI 11 20152 MILANO MI	https://www.aziende.it/hyundai-motor-company-italy-s-r-l	monitoraitalia.it; topaziende.quotidiano.net
296	SYENSQO SPECIALTY POLYMERS ITALY S.P.A.	03521920961	SI	03521920961		1680542	Societa' per Azioni	Viale Lombardia 20	20021	Bollate	MI	Lombardia	374187000	2013	Fabbricazione di altri prodotti chimici di base inorganici	Manifatturiero	01/08/2002	Attiva	1017945700	2024	960		SI	SYENSQO SPECIALTY POLYMERS ITALY SPA	VIALE LOMBARDIA 20 20021 BOLLATE MI	https://www.ufficiocamerale.it/1879/solvay-specialty-polymers-italy-spa	monitoraitalia.it; topaziende.quotidiano.net
297	AUTOGRILL ITALIA S.P.A.	02538160033	SI	02538160033	NO	242516	Società per Azioni	Via Greppi 2	28100	Novara	NO	Piemonte	68688000	56.3	Bar e altri esercizi simili senza cucina	Commercio		Attiva	1006749620	2024	7993	autogrillitalia@legalmail.it	SI	AUTOGRILL ITALIA SPA !!SPA	VIA GREPPI 2 28100 NOVARA NO	https://www.aziende.it/autogrill-italia-s-p-a	aziende.it; monitoraitalia.it
298	SKF INDUSTRIE S.P.A.	02663880017	SI	02663880017	TO	580415	SOCIETA' PER AZIONI	Via Pinerolo 44	10060	Airasca	TO	Piemonte	54600000	28.15	Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione (esclusi quelli idraulici)	Manifatturiero	01/10/1980	Attiva	1003258000	2024	2541	country_legal@pec.skf.it	SI	SKF INDUSTRIE S.P.A.	VIA PINEROLO 44 10060 AIRASCA TO	https://www.aziende.it/skf-industrie-s-p-a	aziende.it; monitoraitalia.it
299	COOP LOMBARDIA S.C	00856620158	SI		MI	136012	SOCIETA' COOPERATIVA	Viale Famagosta 75	20142	Milano	MI	Lombardia		47.11	Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti alimentari e bevande	Commercio	18/12/1926	Attiva	1002421100	2024			SI	COOP LOMBARDIA SOCIETA' COOPERATIVA	VIALE FAMAGOSTA 75 20142 MILANO MI	https://www.aziende.it/coop-lombardia-societa-cooperativa	monitoraitalia.it; topaziende.quotidiano.net
300	DELL S.P.A.	12289830155	SI	12289830155	MI	1544069	SOCIETA' PER AZIONI	Via Luisa Battistotti Sassi 11	20133	Milano	MI	Lombardia	104000	46.50.1	Commercio all'ingrosso di computer, unita' periferiche e software	Produzione di software, consulenza informatica	25/11/1997	Attiva	1001038681	2024	514	dell@pec.trustedmail.intesa.it	SI	DELL SPA	VIA LUISA BATTISTOTTI SASSI 11 20133 MILANO MI	https://www.aziende.it/dell-s-p-a	topaziende.quotidiano.net
301	MONDELEZ ITALIA S.R.L.	11023000158	SI	11023000158	MI	1338353	SOCIETA' A RESPONSABILITA' LIMITATA	Via Marcello Nizzoli 3	20147	Milano	MI	Lombardia	38309000	46.33.1	Commercio all'ingrosso di prodotti lattiero-caseari e di uova	Commercio all'ingrosso di prodotti lattiero-caseari	01/02/1990	Attiva	998725438	2024	240	mondelezitaliasrl@pec.it	SI	MONDELEZ ITALIA S.R.L.	VIA NIZZOLI 3 20147 MILANO MI	https://www.aziende.it/mondelez-italia-s-r-l	topaziende.quotidiano.net
302	ELI LILLY ITALIA S.P.A.	00426150488	SI	00426150488	FI	162817	Societa per azioni	Via Antonio Gramsci 731/733	50019	Sesto Fiorentino	FI	Toscana	69921731	21.20.09	Fabbricazione di medicinali ed altri preparati farmaceutici	Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici	02/01/1962	Attiva	993011037	2024	1539	direzione@pec.lilly.it	SI	ELI LILLY ITALIA SPA	VIA GRAMSCI 731/733 50019 SESTO FIORENTINO FI	https://www.aziende.it/eli-lilly-italia-s-p-a	topaziende.quotidiano.net
303	ELECTRADE S.P.A.	03294530245	SI	03294530245	VI	313751	Societa per Azioni	Via Aristide Nonis 68/a	36063	Marostica	VI	Veneto	30000000	35.15	Commercio di energia elettrica	Commercio di energia elettrica	11/09/2006	Attiva	986978478	2025	40	electradespa@legalmail.it	SI	ELECTRADE S.P.A.	VIA NONIS 68/A 36063 MAROSTICA VI	https://www.aziende.it/electrade-s-p-a	aziende.it
304	ENAV S.P.A.	02152021008	SI	97016000586	RM	965162	SOCIETA' PER AZIONI	Via Salaria 716	00138	Roma	RM	Lazio	541744385	52.23	Attivita dei servizi connessi al trasporto aereo	Servizi connessi al trasporto aereo	22/01/2001	Attiva	964981374	2024	3598	protocollogenerale@pec.enav.it	SI	ENAV S.P.A.	VIA SALARIA 716 00138 ROMA RM	https://www.aziende.it/enav-s-p-a	aziende.it
305	DUSSMANN SERVICE S.R.L.	00124140211	SI		MI	1578661	SOCIETA' A RESPONSABILITA' LIMITATA	Via Stresa 6	20125	Milano	MI	Lombardia	20000000	81.21	Pulizia generale (non specializzata) di edifici	Pulizia generale (non specializzata) di edifici	01/10/1969	Attiva	961536062	2024	26012	dussmann@gigapec.it	SI	DUSSMANN SERVICE S.R.L.	VIA STRESA 6 20125 MILANO MI	https://www.aziende.it/dussmann-service-s-r-l	topaziende.quotidiano.net
306	SACMI COOPERATIVA MECCANICI IMOLA SOCIETA' COOPERATIVA IN BREVE SACMI IMOLA S.C	00498321207	SI	00287010375		8924	SOCIETA' COOPERATIVA	VIA SELICE PROVINCIALE 17/A	40026	IMOLA	BO	Emilia-Romagna	38417425	289999	Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.	Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca	02/12/1919	Attiva	947389542	2024	1270	sacmi@legalmail.it	SI	SACMI COOPERATIVA MECCANICI IMOLA SOCIETA' COOPERATIVA IN BR	VIA SELICE PROVINCIALE 17/A, 40026 IMOLA BO	https://www.ufficiocamerale.it/7340/sacmi-cooperativa-meccanici-imola-societa-cooperativa-in-breve-sacmi-imola-sc	topaziende.quotidiano.net
307	PADANA TUBI & PROFILATI ACCIAIO S.P.A.	00323370353	SI	00323370353	RE	126911	SOCIETA' PER AZIONI	Via Porta Murata 8/a	42016	Guastalla	RE	Emilia-Romagna	17443636	24.2	FABBRICAZIONE DI TUBI, CONDOTTI, PROFILATI CAVI E RELATIVI ACCESSORI IN ACCIAIO (ESCLUSI QUELLI IN ACCIAIO COLATO)	Fabbricazione di tubi e profilati cavi in acciaio	15/02/1975	Attiva	946960509	2024	774	padanatubi@pec.it	SI	PADANA TUBI & PROFILATI ACCIAIO SPA	VIA PORTA MURATA 8/A 42016 GUASTALLA RE	https://www.aziende.it/padana-tubi-e-profilati-acciaio-s-p-a	topaziende.quotidiano.net
308	COSTANTIN S.P.A.	02098230283	SI	02098230283	PD	201819	SOCIETA' PER AZIONI	Via Canareggio 1823/1	35046	Borgo Veneto	PD	Veneto	10000000	47.3	COMMERCIO AL DETTAGLIO DI CARBURANTE PER AUTOTRAZIONE IN ESERCIZI SPECIALIZZATI	Commercio al dettaglio di carburante per autotrazione in esercizi specializzati	29/07/1986	Attiva	946260635	2024	110	costantinspa@pec.it	SI	COSTANTIN S.P.A.	VIA CANAREGGIO 1823/1 35046 BORGO VENETO PD	https://www.aziende.it/costantin-s-p-a	aziende.it
309	VIATRIS ITALIA S.R.L.	02789580590	SI	02789580590		2105518	SOCIETA' A RESPONSABILITA' LIMITATA	VIA VITTOR PISANI 20	20124	MILANO	MI	Lombardia	76050	46461	Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici	Commercio all'ingrosso (escluso autoveicoli)	01/01/2015	Attiva	940242700	2024	691		SI	VIATRIS ITALIA SRL	VIALE DELL'INNOVAZIONE 3 20126 MILANO MI	https://www.ufficiocamerale.it/8808/mylan-italia-srl	topaziende.quotidiano.net
310	MOZAMBIQUE ROVUMA VENTURE S.P.A.	05138630966	SI	05138630966		1798591	Societa' per Azioni	VIA EMILIA 1	20097	SAN DONATO MILANESE	MI	Lombardia	20000000	062	Estrazione di gas naturale	Estrazione di petrolio greggio e di gas naturale	18/01/2006	Attivo	939254738	2024	0		NO			https://www.ufficiocamerale.it/7563/mozambique-rovuma-venture-spa	topaziende.quotidiano.net
311	SNAITECH S.P.A.	01729640464	SI	00754850154		1584464	Societa' per Azioni	Via Ugo Bassi 6	20159	Milano	MI	Lombardia	97982245	920009	Altre attivita' di scommesse, lotterie e altri giochi d'azzardo	Attivita riguardanti le lotterie, le scommesse, le case da gioco	12/12/2002	Attiva	935120616	2024	687	snaitech@pec.it	NO			https://www.ufficiocamerale.it/9236/snaitech-spa	topaziende.quotidiano.net
312	ITALO - NUOVO TRASPORTO VIAGGIATORI S.P.A.. O IN FORMA ABBREVIATA ITALO S.P.A.	09247981005	SI	09247981005		1150652	SOCIETA' PER AZIONI	VIA CASILINA 1	00182	ROMA	RM	Lazio	60017725	491	Trasporto ferroviario di passeggeri	Trasporto ferroviario passeggeri	28/04/2012	Attivo	929218040	2025	1505		SI	ITALO - NUOVO TRASPORTO VIAGGIATORI S.P.A. !!ITALO S.P.A.	VIA CASILINA 1 00182 ROMA RM	https://www.ufficiocamerale.it/9810/italo-nuovo-trasporto-viaggiatori-spa-o-in-forma-abbreviata-italo-spa	aziende.it
313	ROCHE S.P.A.	00747170157	SI	00747170157				Viale G.B. Stucchi 110	20900	Monza	MB	Lombardia				Fabbricazione di prodotti farmaceutici			928985120	2024			SI	ROCHE S.P.A.	VIALE GIAN BATTISTA STUCCHI N 110 20900 MONZA MB	https://www.roche.it/contatti/contatti-roche-pharma	topaziende.quotidiano.net
314	TRENORD S.R.L.	06705490966	SI	06705490966	MI	1909555	SOCIETA' A RESPONSABILITA' LIMITATA	Piazzale Luigi Cadorna N 14	20123	Milano	MI	Lombardia	76120000	49.12	Altri trasporti ferroviari di passeggeri	Trasporto terrestre e trasporto mediante condotte	15/11/2009	Attiva	926231751	2024	4943	trenord@legalmail.it	SI	TRENORD S.R.L.	PIAZZALE LUIGI CADORNA N 14 20123 MILANO MI	https://www.aziende.it/trenord-s-r-l	topaziende.quotidiano.net
315	SACCHI GIUSEPPE S.P.A.	00689730133	SI	00689730133	LC	157633	SOCIETA' PER AZIONI	Via Privata Gerolamo Sacchi 2	23891	Barzano	LC	Lombardia	3600000	46.89	Commercio all'ingrosso specializzato di altri prodotti n.c.a.	Commercio all'ingrosso di articoli per l'illuminazione	30/11/1977	Attiva	926073263	2024	1370	amministrazione.sacchi@pec.it	SI	SACCHI GIUSEPPE S.P.A.	VIA PRIVATA GEROLAMO SACCHI 2 / 23891 BARZANO' LC	https://www.aziende.it/sacchi-giuseppe-s-p-a	topaziende.quotidiano.net
316	EUROVO S.R.L.	00727070393	SI	00992620286	RA	100103	SOCIETA' A RESPONSABILITA' LIMITATA	Via Mensa 3-santa Maria In Fabriago	48022	Lugo	RA	Emilia-Romagna	21000000	10.89.09	Produzione di altri prodotti alimentari nca	Produzione di altri prodotti alimentari	23/10/1981	Attiva	924173512	2024	638	eurovosrl@legalmail.it	SI	EUROVO SRL	VIA MENSA 3-SANTA MARIA IN FABRIAGO 48022 LUGO RA	https://www.aziende.it/eurovo-srl	topaziende.quotidiano.net
317	DAC DISTRIBUZIONE ALIMENTARI CONVIVENZE S.P.A.	03038290171	SI	03038290171	BS	313463	SOCIETA' PER AZIONI	Via G Marconi 15	25020	Flero	BS	Lombardia	3000000	46.9	COMMERCIO ALL'INGROSSO NON SPECIALIZZATO	Commercio all'ingrosso	01/09/1995	Attiva	922206253	2024	357	amministrazione@dacspa.legalmail.it	SI	DAC DISTRIBUZIONE ALIMENTARI CONVIVENZE S.P.A. O IN FORMA AB	VIA G MARCONI 15 25020 FLERO BS	https://www.aziende.it/dac-distribuzione-alimentari-convivenze-s-p-a	topaziende.quotidiano.net
318	GENERAL CAVI S.P.A.	01208310399	SI	01208310399		128014	Società per azioni	Via Risorgimento 32	48022	Lugo	RA	Emilia-Romagna	5013840	27.3	Fabbricazione di cablaggi e apparecchiature di cablaggio	Fabbricazione di apparecchiature elettriche	24/12/1992	Attiva	919119522	2024	123	generalcavi@legalmail.it	SI	GENERAL CAVI S.P.A.	VIA RISORGIMENTO 32 48022 LUGO RA	https://www.aziende.it/general-cavi-societa-per-azioni	topaziende.quotidiano.net
319	PFIZER S.R.L.	02774840595	SI	02774840595	LT	198376	Societa a Responsabilita Limitata	Via Isonzo 71	04100	Latina	LT	Lazio	200000000	21.20.09	Fabbricazione di medicinali ed altri preparati farmaceutici	Farmaceutico	24/10/2014	Attiva	918915926	2025	831	pfizersrl@pec.it	SI	PFIZER S.R.L.	VIA ISONZO 71 04100 LATINA LT	https://www.aziende.it/pfizer-s-r-l	aziende.it
